id,category,content_brief,generation_prompt,negative_prompt,lora_caption
0001,close portrait,"adult woman with short black hair and a solemn gaze, cracked helmet held below frame, dark cockpit reflection behind her","adult woman with short black hair and a solemn gaze, cracked helmet held below frame, dark cockpit reflection behind her. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult woman with short black hair and a solemn gaze, holding a cracked helmet below frame, dark cockpit reflection behind her, close portrait"
0002,close portrait,"adult man with silver hair, narrow eyes, side-lit face, high-collared armored coat, rain-streaked window behind him","adult man with silver hair, narrow eyes, side-lit face, high-collared armored coat, rain-streaked window behind him. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult man with silver hair and narrow eyes wearing a high-collared armored coat, rain-streaked window behind him, close portrait"
0003,close portrait,"androgynous masked knight with one visible eye, fractured visor, vertical cathedral shadows","androgynous masked knight with one visible eye, fractured visor, vertical cathedral shadows. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an androgynous masked knight with one visible eye and a fractured visor, vertical cathedral shadows in the background, close portrait"
0004,close portrait,"adult pilot with cropped violet hair, oxygen collar, cockpit warning lights, three-quarter face angle","adult pilot with cropped violet hair, oxygen collar, cockpit warning lights, three-quarter face angle. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult pilot with cropped violet hair and an oxygen collar, cockpit warning lights behind them, three-quarter close portrait"
0005,close portrait,"android face with partial metal cheek, exposed small mechanical seams, calm downward gaze","android face with partial metal cheek, exposed small mechanical seams, calm downward gaze. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an android with a partial metal cheek and exposed small mechanical seams, looking downward, close portrait"
0006,bust,"ceremonial armored priestess holding a small relic, layered mantle, ruined altar behind her","ceremonial armored priestess holding a small relic, layered mantle, ruined altar behind her. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult ceremonial armored priestess holding a small relic, wearing a layered mantle, ruined altar behind her, bust shot"
0007,bust,"cybernetic swordsman with dark mantle and visible mechanical collar, hand resting on sword hilt","cybernetic swordsman with dark mantle and visible mechanical collar, hand resting on sword hilt. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult cybernetic swordsman wearing a dark mantle and mechanical collar, hand resting on a sword hilt, bust shot"
0008,bust,"unarmored scholar in layered dark robes, holding a damaged book, old observatory interior","unarmored scholar in layered dark robes, holding a damaged book, old observatory interior. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult scholar in layered dark robes holding a damaged book, old observatory interior in the background, bust shot"
0009,bust,"sky-captain with mechanical shoulder collar, windblown scarf, distant launch tower window","sky-captain with mechanical shoulder collar, windblown scarf, distant launch tower window. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, an adult sky-captain wearing a mechanical shoulder collar and windblown scarf, distant launch tower visible through a window, bust shot"
0010,bust,"wounded sentinel holding a removed helmet, bandaged hand, dim throne room background","wounded sentinel holding a removed helmet, bandaged hand, dim throne room background. Rendered in Nocturne Aegis Cel: original high-end digital anime illustration with a 1990s cel-animation skeleton and modern volumetric digital painting finish. Elongated elegant proportions where applicable, sharp geometric faces, subtle melancholic expression, tapered sweeping linework, bold hard-surface ink contours, jewel-toned blackened indigo violet magenta sapphire palette with antique gold or pale silver accents, layered 1/2/3 shadows, deep ambient occlusion, extreme chiaroscuro, crisp rim light, glass-like geometric eyes, soft skin, matte cloth, iridescent metal, cinematic isolation, clear silhouette, controlled detail hierarchy, no text, no watermark.","generic anime, chibi, round childish proportions, plastic skin, 3d render, low contrast, muddy colors, blurry lineart, uniform line weight, messy ornamental noise, bad anatomy, malformed hands, extra fingers, fused objects, text, logo, watermark, signature","nacel_v1, a wounded adult sentinel holding a removed helmet with one bandaged hand, dim throne room in the background, bust shot"
